"id","mahallead","adano","parselno","tapucinsaciklama","tapumahalleref","tapualan","kadastroalan","geom"
680029522,DÝKMEN,"7456","27",Arsa,55927,854.0,853.999142335471,"POLYGON ((32.844180173155 39.878073938168, 32.844432967757 39.878047513417, 32.844494390796 39.878396260744, 32.844240892508 39.878422757428, 32.844180173155 39.878073938168))"
680029750,DÝKMEN,"7462","11",BAÐ,55927,1027.0,1027.80811622853,"POLYGON ((32.847729104972 39.877420232229, 32.847662944384 39.877426999752, 32.8474934565 39.877096048258, 32.847585788565 39.877050098141, 32.847661751607 39.876992893112, 32.847970429678 39.87722474725, 32.847729104972 39.877420232229))"
680029525,DÝKMEN,"7464","1",TARLA VE HARAP BAÐ VE BAÐ,55927,7120.0,7096.34224403254,"POLYGON ((32.846449466235 39.876266929535, 32.845730590785 39.876335503943, 32.845475078369 39.875988804485, 32.846553850767 39.875491466645, 32.846792995159 39.87581655157, 32.847021032325 39.876126777647, 32.846842788697 39.876187602872, 32.84663824111 39.876239876666, 32.846449466235 39.876266929535))"
680029527,DÝKMEN,"7464","10",BETONARME APARTMAN,55927,691.0,687.132586934996,"POLYGON ((32.84695522297 39.875309381862, 32.847163372848 39.875577733295, 32.847066722257 39.875640074942, 32.846993329364 39.875690343777, 32.846764715976 39.875396327548, 32.84695522297 39.875309381862))"
680029530,DÝKMEN,"7470","11",BAÐ,55927,692.0,561.992094825363,"POLYGON ((32.83771550584 39.878385875584, 32.838206492367 39.878115691186, 32.838204318445 39.878247971952, 32.83779611488 39.878473550395, 32.83771550584 39.878385875584))"
680029533,DÝKMEN,"7470","12",BAÐ,55927,948.0,608.679912383878,"POLYGON ((32.83779611488 39.878473550395, 32.838204318445 39.878247971952, 32.838200375063 39.878432531228, 32.837908720519 39.87859499983, 32.83779611488 39.878473550395))"
680029536,DÝKMEN,"7470","14",BAÐ,55927,2981.0,2992.10311036036,"POLYGON ((32.837234937032 39.8778586344, 32.837877808356 39.877535241993, 32.837898264652 39.877532988345, 32.837928075088 39.877545143788, 32.838184714965 39.877851332869, 32.837535999424 39.878187336401, 32.837234937032 39.8778586344))"
680029538,DÝKMEN,"7470","3",BAÐ,55927,672.0,676.736519606017,"POLYGON ((32.83771550584 39.878385875584, 32.837631128493 39.878296146261, 32.83768273707 39.878269742449, 32.838210770914 39.877982298603, 32.838206492367 39.878115691186, 32.837771086742 39.878356422363, 32.83771550584 39.878385875584))"
680029541,DÝKMEN,"7470","4",BAÐ,55927,945.0,937.212850838243,"POLYGON ((32.837631128493 39.878296146261, 32.837534700125 39.878185627208, 32.837852628879 39.878011977319, 32.838180278484 39.877851834756, 32.838208087278 39.877884612413, 32.838210770914 39.877982298603, 32.837631128493 39.878296146261))"
680029544,DÝKMEN,"7472","17",BAÐ,55927,283.0,284.413354127912,"POLYGON ((32.833060778314 39.891251605103, 32.833008241111 39.891163310607, 32.832923459915 39.891030904605, 32.833260537432 39.891132612745, 32.833060778314 39.891251605103))"
680029547,DÝKMEN,"7472","6",TARLA,55927,767.0,765.893700969726,"POLYGON ((32.834263825529 39.8923740293, 32.834495698852 39.892462442533, 32.834396339991 39.892743746951, 32.834141230197 39.892690694949, 32.834263825529 39.8923740293))"
680029549,DÝKMEN,"7472","8",BAÐ,55927,2040.0,2021.73111918886,"POLYGON ((32.83441748944 39.892023318811, 32.834517253041 39.892059035961, 32.834615387669 39.892091508512, 32.83480349683 39.892146444719, 32.834838269469 39.892175404342, 32.834848245428 39.892208381482, 32.834784304149 39.892543323003, 32.834495236833 39.892462484767, 32.834263362533 39.892374072298, 32.834175182798 39.892334588825, 32.83441748944 39.892023318811))"
680029557,DÝKMEN,"7473","2",BAÐ,55927,563.0,560.517228372137,"POLYGON ((32.83367221482 39.891357991821, 32.833761795129 39.891252746924, 32.834069038108 39.891405393974, 32.83400358914 39.891491670502, 32.833974387678 39.891480010503, 32.833882068653 39.891557422227, 32.83367221482 39.891357991821))"
680029560,DÝKMEN,"7475","16",Apartman - Beton,55927,658.0,657.59484008851,"POLYGON ((32.834186155028 39.889724717613, 32.834252162517 39.889551531081, 32.834619776169 39.889635365048, 32.834555172721 39.889808463712, 32.834186155028 39.889724717613))"
680029563,DÝKMEN,"7477","6",Betonarme Apartman,55927,1000.0,987.454049592002,"POLYGON ((32.834807636132 39.888186340426, 32.83482692584 39.888186728141, 32.834875409047 39.888201567625, 32.835024789723 39.88826446448, 32.834996418546 39.888297026789, 32.83484818768 39.888631219189, 32.834615895614 39.888576219357, 32.83475037339 39.88822471555, 32.834762579309 39.888205189328, 32.834783069335 39.888192609746, 32.834807636132 39.888186340426))"
680029565,DÝKMEN,"7486","21",BAÐ,55927,290.0,288.043372356512,"POLYGON ((32.836258685726 39.884580098129, 32.836340544246 39.884570216769, 32.836368369256 39.884717238321, 32.836376797032 39.884762011373, 32.836257529948 39.884771029322, 32.836143578309 39.884708004599, 32.836258685726 39.884580098129))"
680029568,DÝKMEN,"7488","2",ARSA,55927,166280.0,165773.001769729,"POLYGON ((32.828701360957 39.915181214446, 32.828702290025 39.91541852966, 32.828681993699 39.915490459393, 32.828634624726 39.915537491846, 32.82855350698 39.915563399842, 32.827903326037 39.915470482741, 32.827331254033 39.915386234336, 32.82675944754 39.91529000515, 32.826191055646 39.915185402547, 32.825621272729 39.915076562063, 32.825054077541 39.914962679292, 32.824494981484 39.914838178601, 32.8244169319 39.914807349215, 32.82438400264 39.914786584994, 32.824326947106 39.914732911553, 32.824525520817 39.914558131446, 32.824611026972 39.914600139804, 32.824809270822 39.914783806256, 32.825451113864 39.91410282372, 32.825186435665 39.913276464322, 32.825127050931 39.913081209937, 32.82489189968 39.912695658754, 32.824453586203 39.9125908838, 32.824182129205 39.91282148194, 32.823583349267 39.912308298108, 32.823513613348 39.912320440409, 32.822560779096 39.911326499821, 32.822541926298 39.911290265898, 32.822789140055 39.910664351271, 32.823294044732 39.909653542852, 32.823827259804 39.909820069141, 32.824998365625 39.91020019488, 32.825562773063 39.910383241612, 32.825728081634 39.910453108444, 32.825857350539 39.910530486092, 32.825929125018 39.910589944972, 32.825991640886 39.910657135197, 32.826611836245 39.911537522519, 32.826897854247 39.911928549929, 32.827186096487 39.912320030332, 32.827471645494 39.912714117729, 32.827758845294 39.913104154011, 32.828041598623 39.913496344503, 32.828326923488 39.913890429458, 32.828433671532 39.914044503801, 32.828543621545 39.914274865473, 32.82861108483 39.914471030699, 32.82866743413 39.91466853033, 32.828699241837 39.914858248302, 32.828701360957 39.915181214446))"
680029571,DÝKMEN,"7492","11",-Apartman--Beton-,55927,611.0,607.562727646768,"POLYGON ((32.836585154286 39.878612275511, 32.836919442513 39.878430549214, 32.837028527751 39.878557533595, 32.836708584743 39.878745119363, 32.836585154286 39.878612275511))"
680029573,DÝKMEN,"7492","20",-Apartman--Beton-,55927,724.0,732.272970987896,"POLYGON ((32.836346226975 39.878362823468, 32.836350167966 39.878327794489, 32.836367415342 39.878301070124, 32.836682694717 39.878149128521, 32.836807178989 39.878300970337, 32.836461916581 39.878476916775, 32.836346226975 39.878362823468))"
680029576,DÝKMEN,"7492","21",-Apartman--Beton-,55927,626.0,625.97154440878,"POLYGON ((32.836461916581 39.878476916775, 32.836807178989 39.878300970337, 32.836883063521 39.878391500639, 32.836919442513 39.878430549214, 32.836585154286 39.878612275511, 32.836461916581 39.878476916775))"
680029579,DÝKMEN,"7495","10",BAÐ,55927,920.0,924.116980559054,"POLYGON ((32.83444827731 39.883418342659, 32.834027352302 39.883446289942, 32.834010967033 39.883357194116, 32.833985728855 39.883254936389, 32.834423609523 39.883176127896, 32.834451081922 39.883224711158, 32.83444827731 39.883418342659))"
680029582,DÝKMEN,"7495","9",BAÐ,55927,860.0,854.874491449361,"POLYGON ((32.834444890269 39.883659616661, 32.834266980176 39.883651436557, 32.83403611789 39.883640838642, 32.834035551894 39.883536364723, 32.834027352302 39.883446289942, 32.83444827731 39.883418342659, 32.834444890269 39.883659616661))"
680029585,DÝKMEN,"7497","6/A",BAÐ,55927,26.0,24.4336175959087,"POLYGON ((32.833173176628 39.884330007622, 32.833171934814 39.884338963024, 32.832887908163 39.88431558793, 32.832889150013 39.884306632531, 32.833173176628 39.884330007622))"
680029587,DÝKMEN,"7497","9",BAÐ,55927,810.0,813.146169019333,"POLYGON ((32.833823183399 39.884386615225, 32.83358989052 39.884364935183, 32.833639770369 39.88399484788, 32.833857895004 39.88400380717, 32.833823183399 39.884386615225))"
680029589,DÝKMEN,"7499","8",-Apartman--Beton-,55927,582.0,579.874645456383,"POLYGON ((32.83277239556 39.884736077683, 32.832598280675 39.884726283208, 32.832450362442 39.88471723921, 32.832390749715 39.884713190148, 32.832404231646 39.88455397827, 32.8327882097 39.884578940578, 32.83277239556 39.884736077683))"
680029592,DÝKMEN,"7501","5",BAÐ,55927,567.0,569.250913189692,"POLYGON ((32.832608946849 39.886324822851, 32.832591363757 39.886487901482, 32.83222132982 39.886445576578, 32.832256449075 39.886282973728, 32.832608946849 39.886324822851))"
680029595,DÝKMEN,"7502","4",-Apartman--Beton-,55927,975.0,976.055521947411,"POLYGON ((32.833226739678 39.886404069271, 32.833507366334 39.886434644296, 32.833427930351 39.886794511744, 32.833146154161 39.886755288826, 32.833226739678 39.886404069271))"
680029596,DÝKMEN,"7503","3",BETONARME APARTMAN,55927,602.0,597.349987823325,"POLYGON ((32.833167241532 39.887411427947, 32.832903731567 39.887384953489, 32.8329422053 39.887163340209, 32.83325249028 39.887210440166, 32.833167241532 39.887411427947))"
680029599,DÝKMEN,"7504","8",BAÐ,55927,657.0,657.940342443962,"POLYGON ((32.831818745383 39.886996808273, 32.831659344088 39.886970188146, 32.831730618188 39.886652999913, 32.83194122667 39.886679153912, 32.83186607519 39.887004622436, 32.831818745383 39.886996808273))"
